episode_date,episode_title,youtube_url,source_file,timestamp_start,timestamp_end,speaker,speaker_confidence,speaker_attribution_reason,ticker_or_asset,company_or_asset_name,asset_type,direction,position_status,conviction_score_0_to_5,excitement_score_0_to_5,urgency_score_0_to_5,time_horizon,trade_category,catalyst_or_condition,bull_thesis,bear_thesis_or_risks,key_quotes,summary_of_chris_view,evidence_strength,contradictions_or_tensions,notes
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,55:03,59:32,Chris Camillo,High,"'I don't own him right now, but I would'.",HIMS,Hims & Hers Health,Stock,Watchlist,does not own,3,3,2,long-term,future deep-dive tease,Peptide commercialization scaling,"Uniquely positioned to monetize peptide tailwind 'better than anyone else in the world' as a distribution channel","'Not generally a fan' for unspecified reasons; deep reliance on GLP-1s controlled by 2 companies (LLY/NVO)","[55:13] I'm not generally a fan of HIMS for a number of reasons … HIMS is uniquely positioned to monetize that tailwind in peptides better than anyone else in the world. // [56:02] If it weren't for that, I would probably be in him … // [58:23] I don't own him right now, but I would it's something that I would as a peptide distribution channel play in the future as peptides go from the billionaire class to the uh McDonald's class.",Does not own HIMS; framing it as a future peptide distribution play.,explicit,,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,55:48,1:08:57,Chris Camillo,High,"'super cycle that doesn't just last years, but maybe last decades'; 'This peptide trend is no longer a trend. It's officially a super cycle just like AI'.",Peptides,Peptides theme,Theme / basket,Long,thematic / future deep-dive,5,4,2,long-term,thematic trade,Peptide democratization (rich → mainstream),"Multi-decade super cycle; supplements that actually work; analogous to early GLP-1 trade","Regulatory; distribution channel uncertainty (drug companies vs supplement cos)","[55:48] I think the market for peptides is going to do nothing but get larger and larger and larger the next few years. // [59:21] capable of having a super cycle that doesn't just last years, but maybe last decades.",Peptides = multi-decade super cycle; specific trades to be revealed in future episode.,explicit,,Reaffirmed and intensified in Apr 24 episode.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:00:54,1:01:40,Chris Camillo,High,"'I might lever up in Nvidia, too'.",NVDA,Nvidia,Stock,"Long, Considering levering up",owns,4,4,3,multi-month,quick position update,"NVDA news weekend (chip re-engineering due to TSM allocation); AI sector momentum","NVDA AI demand at all-time high; broader AI sector 'like a dream'",n/a,"[1:01:25] I might lever up in Nvidia, too. Like that Nvidia news this weekend and and TMSI and like it the entire like AI sector.",Considering levering up NVDA along with AMZN and HOOD lever-up plans.,inferred,,He doesn't explicitly say 'I own NVDA' but 'might lever up' implies an existing position.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:01:39,1:02:57,Chris Camillo,High,"Chris explicitly tags this as a future deep-dive episode.",COR/COHR,Coherent,Stock,Watchlist,unclear,3,3,2,long-term,future deep-dive tease,TBD,"Positioned in 'a really interesting place for where this AI cycle is potentially headed'",'A little controversial','[1:01:46] there's two stocks in the AI sector I think we're gonna have to do an entire episode on. Okay. Coherent and Lummentum. // [1:02:43] they're a little controversial, but I I want to go dive in deeper at some point.',Future deep-dive on COR (Coherent); position not explicitly stated.,inferred,,Chris uses 'COR' (transcript) - correct ticker is COHR. Same row applies to LITE (separate row below).
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:01:39,1:02:57,Chris Camillo,High,"Same paired tease as Coherent.",LITE,Lumentum,Stock,Watchlist,unclear,3,3,2,long-term,future deep-dive tease,TBD,"Positioned in 'a really interesting place for where this AI cycle is potentially headed'; one-year chart up ~800%",'A little controversial','[1:01:50] If you look at COR and LI, those are really interesting companies. I don't want to get into them today too much.',Future deep-dive on LITE (Lumentum); position not explicitly stated.,inferred,,Chris uses 'LI' (transcript) - correct ticker is LITE.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,9:48,10:54,Chris Camillo,High,"Chris's standard equities-vs-real-estate argument throughout the segment.",Real estate,Real estate (asset class),Other,Avoid / no position,does not own,1,1,1,long-term,negative / avoid,n/a,n/a,"Illiquid, levered, time/maintenance drag, not real cash flow after expenses, hidden risk","[10:43] If if you would have taken all that money that you were putting into real estate and all that time and you would have just thrown that into aggressive equities over the past, dude, I don't care. You're always winning with equities. … Equities gets you your life back.",Avoid real estate as an asset class; equities always win.,explicit,,Asset-class view rather than a specific trade.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,15:31,17:04,Chris Camillo,High,"'I've been playing Amazon options for the last few weeks like a complete degenerate'.",AMZN,Amazon (options),Stock (options),Leveraged long,owns,5,5,4,short-term,earnings/event trade,AMZN earnings next week (May),AI super-cycle continuation,"Option decay; one wrong move loses 10-20% of liquid portfolio per $1 AMZN move","[15:48] I've been playing Amazon options for the last few weeks like a complete degenerate. // [16:09] anywhere between I would say five and 15% maybe maybe at one point it was as high as 20% of my entire liquid portfolio was in Amazon options. … if Amazon goes down $1, I lose 10 to 20% of my entire portfolio. // [16:46] you can make an argument that I'm 300% equity at at my most degenerate moments.",Heavily levered AMZN options bet (~5-20% of liquid portfolio at peak); confidence stems from Collecticon sale providing capital backstop.,explicit,Mar 23 'considering adding more' → Apr 24 'I've been playing Amazon options like a complete degenerate' (executed and rolled),Collecticon sale closed = backstop. AMZN went from $198 (entry) → $258 by Apr 24 = ~30% return on stock alone. Options gains likely much higher.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,52:54,54:20,Chris Camillo,High,"'I'm all in. I'm all in.'",AMZN,Amazon,Stock,Leveraged long,owns,5,5,3,multi-month,core high-conviction idea,AMZN earnings,Same AI super-cycle thesis,Option decay in roll-ups,"[53:02] I I still love it. I love it just as much as I loved it at $198. // [53:21] I'm all in. I'm all in. // [53:30] What I do, guys, is I continue to roll up my options. … I'm I'm taking the gains. I'm not losing them. I'm taking a part of the profits to reup in new Amazon options. // [54:09] Uh I would say 5% right now today.",Still 'all in' AMZN; option position now ~5% of portfolio after rolling profits up to new strikes.,explicit,Mar 12: would pour in at $220s. Apr 24: AMZN at $258 - target met and exceeded.,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,22:57,23:30,Chris Camillo,High,"'The best buy that I had was ARM'.",ARM,Arm Holdings,Stock,"Long, Add on dip",owns,4,4,2,multi-month,quick position update,n/a,AI semis tailwind,n/a,"[23:14] The best buy that I had was ARM. Uh the thing was up 30% since I bought.",Bought ARM during March drawdown; up ~30% since.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,25:38,27:18,Chris Camillo,High,"'this is actually a trade that I'm interested in'.",Intl/EM,International / Emerging Markets (incl. Brazil),Theme / basket,Watchlist,does not own,3,3,1,long-term,thematic trade,AI democratization → EM lift,"AI democratizes intelligence/manufacturing; EM countries get edge they never had; Brazil 'in pole position'",'I want to spend a lot of time doing research before I make that move','[26:18] If you really think deeply about AI, automation, robotics, how the world economy is going to change over the next 20 years, there is a case to be made that third world countries to some extent will see some of the biggest lift. … I want to spend a lot of time doing research before I make that move.',Watchlist; intrigued by EM/intl as AI-democratization beneficiaries (esp. Brazil); not yet allocated.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,29:34,30:53,Chris Camillo,High,"'I'm at the lowest I've ever been in Bitcoin'.",BTC,Bitcoin,Crypto,"Long (small)",owns,2,1,1,long-term,quick position update,Equities thesis weakening,n/a,Opportunity cost vs equities; current AI super-cycle pull,"[29:43] I'm at the lowest I've ever been in Bitcoin. I want to say it's like 1% of my portfolio right now. I'm not against bring it up to two, maybe 3%. … there's just too much opportunity in equities right now with this AI super cycle. // [30:51] When I become less excited about the equities in my portfolio, I think I would be open to having a larger Bitcoin position.",Owns ~1% Bitcoin (lowest ever); would maybe go to 2-3%; will only scale up if equities thesis weakens.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,32:04,32:24,Chris Camillo,High,"'I do have a few crypto punks'.",CryptoPunks,Crypto Punks NFTs,Crypto / Other,"Long, Long-term hold",owns,3,2,1,long-term,quick position update,n/a,'Will come back at some point in time',NFT market currently dead,"[32:04] I do have a few crypto punks and I think I am more likely to buy more than to sell over the long term. I think crypto punks will come back. … It could be 15 or 20 years.",Owns Crypto Punks; bias to add over decades.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,36:23,38:18,Chris Camillo,High,"'I'm getting out of all collectibles now'.",Collectibles,Disney/Elsa cards / sports cards,Other,"Avoid, Exiting",previously owned,1,1,2,short-term,negative / avoid,Frozen movie 2027 (Elsa exit window),Elsa cards: Frozen sequel could pop the market,'Not a believer in sports cards long-term; no longer at Collecticon shows','[36:23] I have like more of these Elsa cards. We're talking like six figures of Elsa cards and I'm thinking about kind of diversifying out of that. … I'm actually not a big believer in sports cards. … I'm getting out of all collectibles now.','Six figures of Elsa cards held for Frozen-movie exit window; sports cards bag exiting; broadly exiting collectibles.',explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,33:29,34:55,Chris Camillo,High,"Chris's positive comment on pre-99 manga (despite exiting collectibles).",Pre-99 Japanese manga,Pre-1999 Japanese manga,Other,Watchlist,does not own,2,3,1,long-term,thematic trade,Manga now gradable; influencers accumulating,'Up 700% in 6 months; base IP for Pokemon/One Piece franchises','Speculative collectible market','[33:29] all the guys that were into that are now into uh the pre-199 Japanese manga magazines. … Dude, they're up like 700% in six months. // [34:55] If I was going to be in a collectible right now, that's where I'd be putting my money.',Bullish on pre-99 manga as collectible alpha; not personally invested; calls it 'insiders alpha on collectibles'.,explicit,Conflict with 'I'm getting out of all collectibles' - Chris notes the disconnect explicitly,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,49:03,50:01,Chris Camillo,High,"'currently in the leveraged uh uh UPRO, which is uh the S&P 500'.",UPRO,ProShares UltraPro S&P 500 (3x leveraged),ETF,Leveraged long,owns,4,3,1,long-term,core high-conviction idea,n/a,'theoretically generate 2x returns even though it's a triple leverage ETF after fees',"Triple-leverage ETF decay; biggest crash risk","[49:18] I keep my entire uh retirement portfolio in a triple leveraged uh ETF at all times. // [49:43] I only keep 20% of my retirement portfolio in that triple leverage ETF. // [49:58] otherwise it's fully in a leveraged ETF currently in the leveraged uh uh UPRO, which is uh the S&P 500.","~20% of retirement portfolio in UPRO (3x S&P), with some HOOD shares.",explicit,Chris first jokes 'whole thing' then clarifies 20%,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,54:32,55:07,Chris Camillo,High,"'Love it. Love it. Love it. … Love it long term. … I'm in Robin Hood for the long term'.",HOOD,Robinhood,Stock,"Long, Add",owns,5,4,1,long-term,core high-conviction idea,n/a,Long-term AUM thesis,n/a,"[54:38] Love it. Love it. Love it. // [54:44] I went deeper into Robin Hood at 70. Uh I think I just picked up some more calls this morning. So like I just want to be heavier Robin Hood, but not for the week or for the month. // [55:00] I'm in Robin Hood for the long term.",Added HOOD at $70; bought more calls morning of Apr 24; long-term hold.,explicit,Mar 23 'no leverage in Robin Hood right now' → Apr 24 'picked up some more calls this morning' (started levering up),
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,55:08,55:48,Chris Camillo,High,"'I have AMD. It's part of my AI sector trade'.",AMD,Advanced Micro Devices,Stock,Long,owns,3,2,1,multi-month,quick position update,AI sector momentum,Part of AI sector basket,Not heaviest position,"[55:13] yeah, I have AMD. It's part of my AI sector trade. I have a handful of companies like Micron, AMD. … but it's not the one I'm going heaviest in on.",Owns AMD as part of AI sector basket; not his highest-conviction name.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,55:23,55:42,Chris Camillo,High,"'I think I accidentally sold my Intel'.",INTC,Intel,Stock,"Previously owned, Sold",previously owned,3,2,1,unclear,quick position update,n/a,Same conflicting forces from Mar 23,n/a,"[55:23] I think I accidentally sold my Intel. It makes me sick because I like I was running out of money and I needed money because my margin was capping out on that Amazon trade. … I picked Intel to sell and of course Intel's flying.",Previously owned INTC (consistent with Mar 23 'might have some'); accidentally sold to free margin for AMZN options; regrets the sale because INTC has rallied.,explicit,Mar 23 'might have some in my portfolio' → Apr 24 'accidentally sold my Intel' (clarified - he did own it but trimmed inadvertently),
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,55:48,55:55,Chris Camillo,High,"'Uh, Micron. I I love I love all of the uh memory companies'.",MU,Micron Technology,Stock,Long,owns,3,3,1,long-term,quick position update,AI memory demand,Memory company basket loved,n/a,"[55:48] Uh, Micron. I I love I love all of the uh memory companies.",Owns Micron; loves the memory sub-sector.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,55:57,56:04,Chris Camillo,Medium,"Chris notes SanDisk price action but does not explicitly say he owns it.",SNDK,SanDisk Corp,Stock,Watchlist,unclear,2,2,1,long-term,quick position update,Memory tailwind,Implied memory tailwind via 'going crazy' comment,No explicit ownership statement,"[55:57] Did you guys have you did you see uh uh SanDisk keeps just going crazy?",Positive comment on SanDisk price action; ownership status ambiguous.,weak / ambiguous,No explicit 'I own' but mentioned in same breath as Micron - inferred small position likely,SanDisk re-IPO'd Feb 2025 (NASDAQ: SNDK).
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,56:04,57:02,Chris Camillo,High,"'Uh Raku, the Japanese company we did a show on'.",Raku,Japanese imaging co (likely Rigaku Holdings),Stock,Long,owns,4,4,1,long-term,core high-conviction idea,AI chip circuitry inspection demand,'one of like two companies in the world that does this','Liquidity/leverage constraints; Japanese small-cap risk','[56:14] Uh Raku, the Japanese company we did a show on. Dude, it's almost doubled. It's crazy, dude. This is the imaging company in Japan that basically uh is a healthcare company, but they have imaging equipment that they're repurposing to to check the circuitry in AI chips before they head to the data center. // [56:42] Unfortunately, I couldn't get leverage on that. uh because it's in a global account, you have to transfer into yen.',Owns Raku in JP global account; nearly doubled since entry; couldn't lever it.,explicit,,Phonetic 'Raku' likely Rigaku Holdings (TSE: 268A) - description matches Rigaku's healthcare imaging tech repurposed for semiconductor inspection.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,57:11,1:01:00,Chris Camillo,High,"'we doubled down on Bloom'; 'one hell of a call this year'.",BE,Bloom Energy,Stock,"Leveraged long, Doubled down",owns,5,5,2,multi-month,core high-conviction idea,More hyperscaler announcements (Meta/Amazon/Google),'Primary AI power beneficiary; expanded Oracle contract validates tech; up 55% in last month','News-driven volatility; 40% in milliseconds on rumor','[57:14] see Bloom, it exploded off of that … expanded contract with Oracle. … up 55% in the past month. // [58:21] Bloom went down to what $75 a share on quote bad news that we knew was BS. That's why we doubled down on Bloom. // [1:00:30] I don't want to sell sell my bloom yet.',Doubled down on BE at $75; up 55% in past month; one of the best calls this year; 'primary beneficiary of the power trade for the AI super cycle'.,explicit,Mar 12 'I bought a good amount' (initial add) → Mar 23 'I'm in Bloom as heavily as I'm in Bloom' → Apr 24 'doubled down at $75' (meaningful escalation),
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,59:15,1:00:35,Chris Camillo,High,"'I am fully out of sphere'.",SPHR,Sphere Entertainment,Stock,"Previously owned, Out",previously owned,1,1,0,unclear,quick position update,n/a,n/a,"Stock has gone up ~400% since Chris's exit, but he doesn't regret because thesis was social-arb (info imbalance gone)","[59:21] I am fully out of sphere. // [1:00:00] we entered sphere when there was a massive information imbalance in the company and we exited it when the rest of the world learned about what we already knew.",Fully out of SPHR; would only re-enter on new info imbalance.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,1:01:00,1:03:18,Chris Camillo,High,"'I'm holding the majority of my position in Trans Alta'.",TAC,TransAlta Corp,Stock,"Long, Holding majority (reduced)",owns,3,2,1,multi-month,quick position update,Hyperscaler builds in Alberta (could be 2-18 months),Inevitability of Alberta data centers,Trump pressure to build in US; account drawdown forced partial exit; warm winter; community resistance,"[1:01:24] Trans Alta, uh, they got killed by a couple things. // [1:01:54] I think I have exited part of my position because I needed to exit partially out of a lot of positions when my account got destroyed last month. But I feel that it is an inevitability uh that data centers will get into Canada and Alberta specifically. So, I'm holding the majority of my position in Trans Alta. // [1:03:08] I'm hanging on to it.",Holding majority of TAC; trimmed during March drawdown; thesis intact (could play out 2-18 months).,explicit,Mar 23 'massive exposure' → Apr 24 'exited part of my position … holding the majority' (clear position reduction),
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,1:03:22,1:05:36,Chris Camillo,High,"'I don't buy healthcare stocks when tech stocks are exploding'.",Healthcare,Healthcare sector (broad),Sector,"Avoid (now), Long-term bullish",does not own (much),2,2,1,long-term,negative / avoid,Tech rolling over (no near-term),Aging demographics drive sector growth over decades,Regulatory uncertainty around insurers,"[1:03:24] I don't buy healthcare stocks when tech stocks are exploding. For me, healthcare is like a recession stock because people overspend on health care during recession. // [1:05:23] we believe that the entire sector is going to massively grow over the next couple decades because of the aging uh population. … I'm not saying that I don't like healthcare stocks. I'm just not buying any right now when tech stocks are going insane.",Not buying healthcare while tech is hot; long-term bullish via aging demographics.,explicit,,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,1:06:43,1:08:57,Chris Camillo,High,"'This peptide trend is no longer a trend. It's officially a super cycle just like AI'.",Peptides,Peptides theme,Theme / basket,"Long, Future deep-dive",thematic / future deep-dive,5,5,3,long-term,future deep-dive tease,Peptide commercialization scaling out of billionaire class,One of the biggest movements of the decade; analogous to early GLP-1 trade,Regulatory; distribution channel uncertainty,"[1:06:44] This peptide trend is no longer a trend. It's officially a super cycle just like AI. This is going to be one of the biggest movements I think of the decade. // [1:07:48] I look at this moment in a similar way to when I was talking about GLP1s back before anybody was talking about GLP ones. // [1:08:38] I think peptides, guys, are potentially that big.",Peptide super-cycle; intensified vs Mar 23; one of the biggest moves of the decade. Specific tickers TBD next episode.,explicit,Mar 23 'super cycle that doesn't just last years, but maybe last decades' → Apr 24 'officially a super cycle just like AI' (more explicit),
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,1:08:09,1:08:16,Chris Camillo,High,"'I think like 35% of my portfolio back then was in Eli Liy'.",LLY,Eli Lilly,Stock,Previously long,previously owned,2,1,0,unclear,quick position update,n/a,Historical thesis: early GLP-1 winner,'the market now fully understands everything that I understood about the GLP1 movement back in the day','[1:08:09] I think like 35% of my portfolio back then was in Eli Liy.',Previously held a 35% LLY position; current allocation unclear (likely small/none).,explicit,,Statement is about past holdings; current state ambiguous.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,1:08:25,1:08:38,Chris Camillo,High,"'I own some Novo right now. I'm kind of mostly out of that stuff'.",NVO,Novo Nordisk,Stock,Long (small),owns,2,1,0,unclear,quick position update,n/a,Was first into NVO (before LLY),'Mostly out; market fully understands GLP-1 thesis','[1:08:25] I see Novo Nordisk. No, Novo. Actually, I'll take it back. I was in Novo before really. Novo was first. I own some Novo right now. I'm kind of mostly out of that stuff.',Owns small NVO position; mostly exited.,explicit,,
